Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Date,Time,Payment,cogs,Rating
296-11-7041,C,Edmonton,Member,Female,Health and beauty,27.07,1.0,1.3535,2019-01-12,20:07:00,Credit card,27.07,5.0
460-93-5834,B,Calgary,Non-member,Male,Sports and travel,45.58,7.0,15.953,2019-01-13,10:03:00,Cash,319.06,5.0
195-06-0432,B,Calgary,Member,Male,Home and lifestyle,81.01,3.0,12.1515,2019-01-13,12:55:00,Credit card,243.03,9.0
784-08-0310,D,Red Deer,Member,Female,Food and beverages,21.04,4.0,4.208,2019-01-13,13:58:00,Cash,84.16,8.0
339-38-9982,C,Edmonton,Member,Male,Fashion accessories,59.86,2.0,5.986,2019-01-13,14:55:00,Ewallet,119.72,7.0
732-94-0499,D,Red Deer,Non-member,,Electronic accessories,41.65,10.0,20.825,2019-01-13,17:04:00,Credit card,416.5,5.0
397-25-8725,B,Calgary,Member,Female,Health and beauty,39.62,9.0,17.829,2019-01-13,17:54:00,Credit card,356.58,7.0
459-50-7686,A,Calgary,Non-member,Female,Electronic accessories,23.46,6.0,7.038,2019-01-13,19:14:00,Ewallet,140.76,6.0
556-86-3144,D,Red Deer,Member,Female,Fashion accessories,74.29,1.0,3.7145,2019-01-13,19:30:00,Cash,74.29,5.0
327-40-9673,C,Edmonton,Member,Male,Sports and travel,72.6,6.0,21.78,2019-01-13,19:51:00,Cash,435.6,7.0
355-34-6244,C,Edmonton,Non-member,Male,Food and beverages,72.39,2.0,7.239,2019-01-13,19:55:00,Credit card,144.78,
426-39-2418,D,Red Deer,Non-member,Male,Electronic accessories,61.41,7.0,21.4935,2019-01-14,10:02:00,Cash,429.87,10.0
320-85-2052,C,Edmonton,Non-member,Female,Sports and travel,34.81,1.0,1.7405,2019-01-14,10:11:00,Credit card,34.81,
559-61-5987,C,Edmonton,Non-member,Female,Health and beauty,17.75,1.0,0.8875,2019-01-14,10:38:00,Cash,17.75,9.0
704-10-4056,D,Red Deer,Member,,Health and beauty,60.47,3.0,9.0705,2019-01-14,10:55:00,Credit card,181.41,6.0
868-52-7573,C,Edmonton,Non-member,Female,Food and beverages,99.69,5.0,24.9225,2019-01-14,12:09:00,Cash,498.45,10.0
667-23-5919,A,Calgary,Member,Female,Fashion accessories,96.7,5.0,24.175,2019-01-14,12:52:00,Ewallet,483.5,10.0
377-79-7592,D,Red Deer,Member,,Electronic accessories,44.84,9.0,20.178,2019-01-14,14:00:00,Credit card,403.56,8.0
592-34-6155,D,Red Deer,Non-member,Male,Food and beverages,31.77,4.0,6.354,2019-01-14,14:43:00,Ewallet,127.08,
451-73-2711,D,Red Deer,Non-member,Male,Food and beverages,84.83,1.0,4.2415,2019-01-14,15:20:00,Ewallet,84.83,9.0
658-66-3967,D,Red Deer,Non-member,Male,Health and beauty,53.19,7.0,18.6165,2019-01-14,15:42:00,Ewallet,372.33,
359-90-3665,C,Edmonton,Member,,Fashion accessories,18.08,4.0,3.616,2019-01-14,18:03:00,Credit card,72.32,10.0
785-13-7708,C,Edmonton,Non-member,Male,Food and beverages,73.06,7.0,25.571,2019-01-14,19:06:00,Credit card,511.42,1.0
588-47-8641,B,Calgary,Member,Male,Fashion accessories,56.04,10.0,28.02,2019-01-14,19:30:00,Ewallet,560.4,4.0
301-11-9629,A,Calgary,Non-member,Female,Sports and travel,19.1,7.0,6.685,2019-01-15,10:43:00,Cash,133.7,10.0
589-02-8023,B,Calgary,Member,Male,Food and beverages,83.77,2.0,8.377,2019-01-15,10:54:00,Credit card,167.54,7.0
437-58-8131,C,Edmonton,Non-member,Female,Fashion accessories,73.52,2.0,7.352,2019-01-15,13:41:00,Ewallet,147.04,
744-16-7898,C,Edmonton,Non-member,Female,Home and lifestyle,97.37,10.0,48.685,2019-01-15,13:48:00,Credit card,973.7,10.0
188-55-0967,C,Edmonton,Member,Male,Health and beauty,66.47,10.0,33.235,2019-01-15,15:01:00,Credit card,664.7,
660-29-7083,D,Red Deer,Non-member,Male,Electronic accessories,55.87,10.0,27.935,2019-01-15,15:01:00,Cash,558.7,6.0
138-17-5109,B,Calgary,Member,Female,Home and lifestyle,89.21,9.0,40.1445,2019-01-15,15:42:00,Credit card,802.89,
299-46-1805,C,Edmonton,Member,Female,Sports and travel,93.72,6.0,28.116,2019-01-15,16:19:00,Cash,562.32,
272-65-1806,A,Calgary,Non-member,Female,Electronic accessories,60.88,9.0,27.396,2019-01-15,17:17:00,Ewallet,547.92,5.0
886-54-6089,A,Calgary,Non-member,Female,Home and lifestyle,11.43,6.0,3.429,2019-01-15,17:24:00,Cash,68.58,10.0
369-82-2676,C,Edmonton,Non-member,,Electronic accessories,75.66,5.0,18.915,2019-01-15,18:22:00,Ewallet,378.3,
450-28-2866,A,Calgary,Member,Male,Food and beverages,17.44,5.0,4.36,2019-01-15,19:25:00,Cash,87.2,8.0
314-23-4520,D,Red Deer,Member,Male,Health and beauty,81.23,7.0,28.4305,2019-01-15,20:44:00,Cash,568.61,9.0
842-29-4695,D,Red Deer,Member,Male,Sports and travel,17.14,7.0,5.999,2019-01-16,12:07:00,Credit card,119.98,
234-65-2137,D,Red Deer,Non-member,Male,Home and lifestyle,95.58,10.0,47.79,2019-01-16,13:32:00,Cash,955.8,10.0
372-62-5264,D,Red Deer,Non-member,Female,Food and beverages,52.6,9.0,23.67,2019-01-16,14:42:00,Cash,473.4,
859-71-0933,D,Red Deer,Member,Female,Sports and travel,15.49,2.0,1.549,2019-01-16,15:10:00,Cash,30.98,6.0
659-65-8956,C,Edmonton,Member,Male,Fashion accessories,51.36,1.0,2.568,2019-01-16,15:26:00,Ewallet,51.36,2.0
648-83-1321,A,Calgary,Member,Male,Home and lifestyle,63.56,10.0,31.78,2019-01-16,17:59:00,Cash,635.6,4.0
347-72-6115,C,Edmonton,Member,Female,Sports and travel,90.74,7.0,31.759,2019-01-16,18:03:00,Credit card,635.18,6.0
677-11-0152,D,Red Deer,Non-member,Female,Food and beverages,93.26,9.0,41.967,2019-01-16,18:08:00,Cash,839.34,9.0
618-34-8551,A,Calgary,Non-member,Female,Sports and travel,93.18,2.0,9.318,2019-01-16,18:41:00,Credit card,186.36,8.0
286-62-6248,C,Edmonton,Non-member,Male,Fashion accessories,39.21,4.0,7.842,2019-01-16,20:03:00,Credit card,156.84,9.0
679-22-6530,C,Edmonton,Non-member,Female,Sports and travel,40.62,2.0,4.062,2019-01-17,10:01:00,Credit card,81.24,4.0
349-97-8902,C,Edmonton,Member,Male,Food and beverages,57.89,2.0,5.789,2019-01-17,10:37:00,Ewallet,115.78,9.0
101-81-4070,D,Red Deer,Member,Female,Health and beauty,62.82,2.0,6.282,2019-01-17,12:36:00,Ewallet,125.64,5.0
746-54-5508,B,Calgary,Non-member,Male,Home and lifestyle,21.52,6.0,6.456,2019-01-17,12:48:00,Credit card,129.12,9.0
698-98-5964,B,Calgary,Non-member,Female,Food and beverages,81.21,10.0,40.605,2019-01-17,13:01:00,Credit card,812.1,
600-38-9738,D,Red Deer,Member,Male,Sports and travel,71.92,5.0,17.98,2019-01-17,15:05:00,Credit card,359.6,4.0
497-37-6538,A,Calgary,Non-member,Male,Sports and travel,58.91,7.0,20.6185,2019-01-17,15:15:00,Ewallet,412.37,10.0
670-79-6321,C,Edmonton,Member,Female,Home and lifestyle,94.59,7.0,33.1065,2019-01-17,15:27:00,Credit card,662.13,
200-16-5952,D,Red Deer,Member,Male,Food and beverages,65.65,2.0,6.565,2019-01-17,16:46:00,Cash,131.3,6.0
445-30-9252,B,Calgary,Non-member,Male,Sports and travel,25.7,3.0,3.855,2019-01-17,17:59:00,Ewallet,77.1,6.0
280-35-5823,C,Edmonton,Member,Female,Home and lifestyle,86.72,1.0,4.336,2019-01-17,18:45:00,Ewallet,86.72,8.0
562-12-5430,A,Calgary,Member,Female,Fashion accessories,88.15,3.0,13.2225,2019-01-18,10:11:00,Ewallet,264.45,8.0
414-12-7047,C,Edmonton,Non-member,Male,Food and beverages,19.79,8.0,7.916,2019-01-18,12:04:00,Ewallet,158.32,9.0
821-14-9046,C,Edmonton,Member,Female,Fashion accessories,17.48,6.0,5.244,2019-01-18,15:04:00,Credit card,104.88,
622-20-1945,D,Red Deer,Non-member,Female,Health and beauty,39.42,1.0,1.971,2019-01-18,15:08:00,Cash,39.42,8.0
678-79-0726,D,Red Deer,Member,Female,Sports and travel,90.63,9.0,40.7835,2019-01-18,15:28:00,Cash,815.67,5.0
781-84-8059,D,Red Deer,Non-member,Male,Fashion accessories,60.74,7.0,,2019-01-18,16:23:00,Ewallet,425.18,5.0
166-19-2553,A,Calgary,Member,Male,Sports and travel,89.06,6.0,26.718,2019-01-18,17:26:00,Cash,534.36,10.0
706-36-6154,A,Calgary,Member,Male,Home and lifestyle,19.36,9.0,8.712,2019-01-18,18:43:00,Ewallet,174.24,10.0
700-81-1757,A,Calgary,Non-member,Female,Electronic accessories,26.31,5.0,6.5775,2019-01-18,20:59:00,Credit card,131.55,9.0
761-49-0439,C,Edmonton,Member,Female,Electronic accessories,12.1,8.0,4.84,2019-01-19,10:17:00,Ewallet,96.8,9.0
779-06-0012,D,Red Deer,Member,Female,Home and lifestyle,88.61,1.0,4.4305,2019-01-19,10:21:00,Cash,88.61,8.0
151-27-8496,D,Red Deer,Non-member,Female,Electronic accessories,56.13,4.0,11.226,2019-01-19,11:43:00,Ewallet,224.52,9.0
728-47-9078,D,Red Deer,Member,Male,Food and beverages,59.59,4.0,11.918,2019-01-19,12:46:00,Cash,238.36,
482-17-1179,A,Calgary,Member,Male,Electronic accessories,11.94,3.0,1.791,2019-01-19,12:47:00,Credit card,35.82,8.0
125-45-2293,B,Calgary,Non-member,Female,Fashion accessories,99.1,6.0,29.73,2019-01-19,13:11:00,Cash,594.6,4.0
149-61-1929,A,Calgary,Non-member,Male,Sports and travel,64.19,10.0,32.095,2019-01-19,14:08:00,Credit card,641.9,7.0
882-40-4577,A,Calgary,Member,Male,Sports and travel,67.26,4.0,13.452,2019-01-19,15:28:00,Credit card,269.04,8.0
375-72-3056,C,Edmonton,Non-member,Male,Sports and travel,63.06,3.0,9.459,2019-01-19,15:58:00,Ewallet,189.18,7.0
284-54-4231,D,Red Deer,Member,Male,Sports and travel,80.93,1.0,4.0465,2019-01-19,16:08:00,Credit card,80.93,9.0
796-32-9050,B,Calgary,Non-member,Male,Food and beverages,51.28,6.0,,2019-01-19,16:31:00,Cash,307.68,6.0
608-27-6295,C,Edmonton,Member,Male,Electronic accessories,52.89,6.0,15.867,2019-01-19,17:34:00,Credit card,317.34,10.0
809-69-9497,A,Calgary,Non-member,Female,Home and lifestyle,45.68,10.0,22.84,2019-01-19,19:30:00,Ewallet,456.8,10.0
894-41-5205,D,Red Deer,Non-member,Female,Food and beverages,43.18,8.0,17.272,2019-01-19,19:39:00,Credit card,345.44,8.0
645-44-1170,A,Calgary,Member,Male,Home and lifestyle,58.07,9.0,26.1315,2019-01-19,20:07:00,Ewallet,522.63,4.0
832-51-6761,B,Calgary,Non-member,Male,Food and beverages,33.88,8.0,13.552,2019-01-19,20:29:00,Ewallet,271.04,10.0
244-08-0162,C,Edmonton,Non-member,Female,Health and beauty,34.21,10.0,17.105,2019-01-02,13:00:00,Cash,342.1,5.0
198-84-7132,C,Edmonton,Member,Male,Fashion accessories,40.61,9.0,18.2745,2019-01-02,13:40:00,Cash,365.49,
712-39-0363,B,Calgary,Member,Male,Food and beverages,41.66,6.0,12.498,2019-01-02,15:24:00,Ewallet,249.96,
345-68-9016,D,Red Deer,Member,Female,Sports and travel,31.67,8.0,12.668,2019-01-02,16:19:00,Credit card,253.36,6.0
504-35-8843,A,Calgary,Non-member,Male,Sports and travel,42.47,1.0,2.1235,2019-01-02,16:57:00,Cash,42.47,6.0
446-47-6729,A,Calgary,Non-member,Male,Fashion accessories,99.82,2.0,9.982,2019-01-02,18:09:00,Credit card,199.64,7.0
744-09-5786,C,Edmonton,Non-member,Male,Electronic accessories,22.01,6.0,6.603,2019-01-02,18:50:00,Cash,132.06,8.0
670-71-7306,C,Edmonton,Non-member,Male,Sports and travel,44.63,6.0,13.389,2019-01-02,20:08:00,Credit card,267.78,5.0
725-96-3778,D,Red Deer,Member,,Home and lifestyle,89.25,8.0,35.7,2019-01-20,10:13:00,Cash,714.0,5.0
458-10-8612,D,Red Deer,Non-member,Male,Health and beauty,64.08,7.0,22.428,2019-01-20,12:27:00,Ewallet,448.56,8.0
356-44-8813,C,Edmonton,Non-member,Male,Home and lifestyle,37.48,3.0,5.622,2019-01-20,13:45:00,Credit card,112.44,8.0
787-87-2010,A,Calgary,Member,Male,Health and beauty,55.5,4.0,11.1,2019-01-20,15:48:00,Credit card,222.0,7.0
817-48-8732,A,Calgary,Member,Female,Home and lifestyle,72.35,10.0,36.175,2019-01-20,15:55:00,Cash,723.5,
257-73-1380,D,Red Deer,Member,Male,Sports and travel,82.93,4.0,16.586,2019-01-20,16:51:00,Ewallet,331.72,
410-67-1709,A,Calgary,Member,Female,Fashion accessories,63.88,8.0,25.552,2019-01-20,17:48:00,Ewallet,511.04,10.0
645-78-8093,A,Calgary,Non-member,Female,Sports and travel,93.14,2.0,9.314,2019-01-20,18:09:00,Ewallet,186.28,4.0
760-27-5490,D,Red Deer,Non-member,Male,Fashion accessories,15.62,8.0,6.248,2019-01-20,20:37:00,Ewallet,124.96,9.0
378-24-2715,C,Edmonton,Non-member,,Home and lifestyle,53.44,2.0,5.344,2019-01-20,20:38:00,Ewallet,106.88,4.0
316-68-6352,A,Calgary,Member,Female,Food and beverages,36.36,2.0,3.636,2019-01-21,10:00:00,Cash,72.72,7.0
870-72-4431,D,Red Deer,Non-member,Female,Health and beauty,99.19,6.0,29.757,2019-01-21,14:42:00,Credit card,595.14,
239-10-7476,A,Calgary,Non-member,Female,Home and lifestyle,77.95,6.0,23.385,2019-01-21,16:37:00,Ewallet,467.7,8.0
401-18-8016,C,Edmonton,Member,Female,Sports and travel,98.13,1.0,4.9065,2019-01-21,17:36:00,Cash,98.13,9.0
462-67-9126,A,Calgary,Non-member,Male,Home and lifestyle,73.22,6.0,21.966,2019-01-21,17:44:00,Cash,439.32,7.0
329-62-1586,B,Calgary,Non-member,Male,Food and beverages,54.67,3.0,8.2005,2019-01-21,18:00:00,Credit card,164.01,9.0
269-10-8440,B,Calgary,Member,Male,Health and beauty,53.17,7.0,18.6095,2019-01-21,18:01:00,Cash,372.19,9.0
162-65-8559,D,Red Deer,Member,Male,Food and beverages,68.98,1.0,3.449,2019-01-21,20:13:00,Cash,68.98,5.0
287-21-9091,B,Calgary,Non-member,Male,Home and lifestyle,74.67,9.0,33.6015,2019-01-22,10:55:00,Ewallet,672.03,9.0
186-09-3669,D,Red Deer,Member,Female,Health and beauty,81.51,1.0,4.0755,2019-01-22,10:57:00,Ewallet,81.51,
460-35-4390,A,Calgary,Non-member,Male,Home and lifestyle,30.68,3.0,4.602,2019-01-22,11:00:00,Ewallet,92.04,9.0
563-47-4072,C,Edmonton,Non-member,Female,Health and beauty,55.81,6.0,16.743,2019-01-22,11:52:00,Cash,334.86,10.0
120-54-2248,C,Edmonton,Non-member,Female,Food and beverages,28.86,5.0,7.215,2019-01-22,18:08:00,Credit card,144.3,8.0
756-01-7507,D,Red Deer,Non-member,Female,Health and beauty,20.38,5.0,5.095,2019-01-22,18:56:00,Cash,101.9,6.0
521-18-7827,D,Red Deer,Member,Male,Home and lifestyle,39.39,5.0,9.8475,2019-01-22,20:46:00,Credit card,196.95,
790-38-4466,D,Red Deer,Non-member,Female,Health and beauty,10.99,5.0,2.7475,2019-01-23,10:18:00,Credit card,54.95,9.0
565-80-5980,D,Red Deer,Member,Female,Home and lifestyle,47.38,4.0,9.476,2019-01-23,10:25:00,Cash,189.52,7.0
213-32-1216,B,Calgary,Non-member,Female,Electronic accessories,66.06,6.0,19.818,2019-01-23,10:28:00,Cash,396.36,7.0
148-41-7930,D,Red Deer,Non-member,Male,Health and beauty,99.96,7.0,34.986,2019-01-23,10:33:00,Cash,699.72,6.0
477-59-2456,D,Red Deer,Non-member,Female,Fashion accessories,45.44,7.0,15.904,2019-01-23,11:15:00,Cash,318.08,9.0
828-46-6863,B,Calgary,Member,Male,Food and beverages,98.53,6.0,29.559,2019-01-23,11:22:00,Credit card,591.18,4.0
434-83-9547,A,Calgary,Member,Male,Food and beverages,38.47,8.0,15.388,2019-01-23,11:51:00,Cash,307.76,8.0
767-05-1286,D,Red Deer,Member,Female,Home and lifestyle,83.77,6.0,25.131,2019-01-23,12:10:00,Ewallet,502.62,
318-12-0304,A,Calgary,Non-member,Male,Food and beverages,30.61,1.0,1.5305,2019-01-23,12:20:00,Ewallet,30.61,10.0
316-66-3011,A,Calgary,Member,Female,Food and beverages,47.63,9.0,21.4335,2019-01-23,12:35:00,Cash,428.67,5.0
731-81-9469,D,Red Deer,Member,Female,Sports and travel,89.8,10.0,44.9,2019-01-23,13:00:00,Credit card,898.0,9.0
740-22-2500,D,Red Deer,Non-member,Female,Electronic accessories,84.05,3.0,12.6075,2019-01-23,13:29:00,Cash,252.15,10.0
604-70-6476,B,Calgary,Member,Male,Fashion accessories,17.94,5.0,4.485,2019-01-23,14:04:00,Ewallet,89.7,7.0
160-22-2687,A,Calgary,Member,Female,Health and beauty,95.95,5.0,23.9875,2019-01-23,14:21:00,Ewallet,479.75,
219-61-4139,D,Red Deer,Non-member,Male,Electronic accessories,83.08,1.0,4.154,2019-01-23,17:16:00,Ewallet,83.08,6.0
809-46-1866,A,Calgary,Non-member,Male,Health and beauty,58.15,4.0,11.63,2019-01-23,17:44:00,Cash,232.6,8.0
480-63-2856,D,Red Deer,Non-member,Male,Food and beverages,19.25,8.0,7.7,2019-01-23,18:37:00,Ewallet,154.0,7.0
232-11-3025,B,Calgary,Non-member,Male,Sports and travel,78.77,10.0,39.385,2019-01-24,10:04:00,Cash,787.7,6.0
438-23-1242,C,Edmonton,Non-member,Male,Electronic accessories,75.88,7.0,26.558,2019-01-24,10:38:00,Ewallet,531.16,
778-34-2523,A,Calgary,Member,Female,Electronic accessories,48.62,8.0,19.448,2019-01-24,10:57:00,Cash,388.96,5.0
789-23-8625,C,Edmonton,Member,Male,Food and beverages,93.22,3.0,13.983,2019-01-24,11:45:00,Cash,279.66,7.0
443-60-9639,D,Red Deer,Member,,Home and lifestyle,60.87,1.0,3.0435,2019-01-24,13:24:00,Cash,60.87,6.0
775-72-1988,C,Edmonton,Non-member,Male,Home and lifestyle,73.28,5.0,18.32,2019-01-24,15:05:00,Ewallet,366.4,8.0
139-20-0155,C,Edmonton,Member,,Electronic accessories,40.3,10.0,20.15,2019-01-24,17:37:00,Credit card,403.0,7.0
237-44-6163,A,Calgary,Non-member,Male,Electronic accessories,10.56,8.0,4.224,2019-01-24,17:43:00,Cash,84.48,8.0
435-13-4908,B,Calgary,Member,Male,Fashion accessories,86.68,8.0,34.672,2019-01-24,18:04:00,Credit card,693.44,7.0
602-16-6955,C,Edmonton,Non-member,Female,Sports and travel,76.6,10.0,38.3,2019-01-24,18:10:00,Ewallet,766.0,6.0
510-79-0415,C,Edmonton,Member,Female,Sports and travel,23.08,6.0,6.924,2019-01-24,19:20:00,Ewallet,138.48,5.0
726-27-2396,A,Calgary,Non-member,Female,Health and beauty,77.5,5.0,,2019-01-24,20:36:00,Ewallet,387.5,4.0
235-06-8510,D,Red Deer,Member,Male,Home and lifestyle,85.72,3.0,12.858,2019-01-24,20:59:00,Ewallet,257.16,5.0
730-61-8757,C,Edmonton,Member,Male,Health and beauty,51.13,4.0,10.226,2019-01-25,10:11:00,Credit card,204.52,
843-73-4724,A,Calgary,Non-member,Male,Fashion accessories,74.1,1.0,3.705,2019-01-25,11:05:00,Cash,74.1,9.0
340-21-9136,B,Calgary,Member,Female,Sports and travel,40.05,4.0,8.01,2019-01-25,11:40:00,Cash,160.2,10.0
191-10-6171,C,Edmonton,Non-member,Female,Fashion accessories,39.62,7.0,13.867,2019-01-25,13:18:00,Cash,277.34,
283-79-9594,C,Edmonton,Non-member,Female,Food and beverages,48.51,7.0,16.9785,2019-01-25,13:30:00,Credit card,339.57,5.0
394-55-6384,D,Red Deer,Member,Female,Sports and travel,70.19,9.0,31.5855,2019-01-25,13:38:00,Cash,631.71,
280-17-4359,A,Calgary,Member,Male,Health and beauty,90.5,10.0,45.25,2019-01-25,13:48:00,Cash,905.0,9.0
856-66-2701,B,Calgary,Member,Male,Home and lifestyle,53.3,3.0,7.995,2019-01-25,14:19:00,Ewallet,159.9,8.0
569-71-4390,C,Edmonton,Non-member,Male,Sports and travel,21.87,2.0,2.187,2019-01-25,14:29:00,Ewallet,43.74,7.0
824-88-3614,D,Red Deer,Non-member,,Health and beauty,34.31,8.0,13.724,2019-01-25,15:00:00,Ewallet,274.48,6.0
778-71-5554,D,Red Deer,Member,Male,Fashion accessories,15.43,1.0,0.7715,2019-01-25,15:46:00,Credit card,15.43,6.0
307-83-9164,A,Calgary,Member,Male,Home and lifestyle,60.01,4.0,12.002,2019-01-25,15:54:00,Cash,240.04,4.0
268-03-6164,C,Edmonton,Non-member,Male,Health and beauty,0.0,0.0,0.0,2019-01-25,16:28:00,Ewallet,0.0,0.0
288-38-3758,D,Red Deer,Member,Female,Fashion accessories,84.87,3.0,12.7305,2019-01-25,18:30:00,Ewallet,254.61,7.0
261-12-8671,C,Edmonton,Non-member,Female,Fashion accessories,60.96,2.0,6.096,2019-01-25,19:39:00,Credit card,121.92,5.0
145-94-9061,C,Edmonton,Non-member,,Food and beverages,88.36,5.0,22.09,2019-01-25,19:48:00,Cash,441.8,10.0
888-02-0338,B,Calgary,Non-member,Male,Electronic accessories,26.23,9.0,11.8035,2019-01-25,20:24:00,Ewallet,236.07,6.0
881-41-7302,A,Calgary,Non-member,,Food and beverages,64.99,1.0,3.2495,2019-01-26,10:06:00,Credit card,64.99,
896-34-0956,B,Calgary,Non-member,Male,Fashion accessories,21.32,1.0,1.066,2019-01-26,12:43:00,Cash,21.32,
316-55-4634,C,Edmonton,Member,Male,Food and beverages,80.05,5.0,20.0125,2019-01-26,12:45:00,Credit card,400.25,2.0
794-42-3736,C,Edmonton,Non-member,Male,Food and beverages,33.33,2.0,3.333,2019-01-26,14:41:00,Credit card,66.66,
173-82-9529,C,Edmonton,Non-member,Female,Fashion accessories,37.95,10.0,18.975,2019-01-26,14:51:00,Cash,379.5,10.0
